variant_tag,block,architecture,controller,split,rmse_mean,mission_success_rate,saturation_mean,clip_norm_mean,clip_tilt_mean,count_x,rmse_mean_baseline,mission_success_rate_baseline,saturation_mean_baseline,clip_norm_mean_baseline,clip_tilt_mean_baseline,count_y,delta_rmse_mean,delta_mission_success_rate,delta_saturation_mean,delta_clip_norm_mean,delta_clip_tilt_mean
L10,L10,gru,neural_outer_force_gru,ood,0.18558675566038224,0.7,0.0,0.0,0.0,10,0.18803490213753493,0.6,0.0,0.0,0.0,10,-0.0024481464771526906,0.09999999999999998,0.0,0.0,0.0
L10,L10,gru,neural_outer_force_gru,test,0.08280536801560207,1.0,0.0,0.0,0.0,23,0.07999118058393984,1.0,0.0,0.0,0.0,23,0.0028141874316622295,0.0,0.0,0.0,0.0
L10,L10,lstm,neural_outer_force_lstm,ood,0.29533897656854424,0.6,0.0,0.0,0.0,10,0.6660329100235904,0.7,0.0,0.0,0.0,10,-0.3706939334550462,-0.09999999999999998,0.0,0.0,0.0
L10,L10,lstm,neural_outer_force_lstm,test,0.10087931034760392,1.0,0.0,0.0,0.0,23,0.10502725101110702,1.0,0.0,0.0,0.0,23,-0.004147940663503102,0.0,0.0,0.0,0.0
L40,L40,gru,neural_outer_force_gru,ood,0.18226192221420176,0.7,0.0,0.0,0.0,10,0.18803490213753493,0.6,0.0,0.0,0.0,10,-0.005772979923333171,0.09999999999999998,0.0,0.0,0.0
L40,L40,gru,neural_outer_force_gru,test,0.07973974665847289,1.0,0.0,0.0,0.0,23,0.07999118058393984,1.0,0.0,0.0,0.0,23,-0.0002514339254669484,0.0,0.0,0.0,0.0
L40,L40,lstm,neural_outer_force_lstm,ood,0.3214488460595547,0.6,0.0,0.0,0.0,10,0.6660329100235904,0.7,0.0,0.0,0.0,10,-0.34458406396403574,-0.09999999999999998,0.0,0.0,0.0
L40,L40,lstm,neural_outer_force_lstm,test,0.08770651270872244,1.0,0.0,0.0,0.0,23,0.10502725101110702,1.0,0.0,0.0,0.0,23,-0.017320738302384578,0.0,0.0,0.0,0.0
h128,h128,gru,neural_outer_force_gru,ood,0.21139041602798167,0.6,0.0,0.0,0.0,10,0.18803490213753493,0.6,0.0,0.0,0.0,10,0.02335551389044674,0.0,0.0,0.0,0.0
h128,h128,gru,neural_outer_force_gru,test,0.08524129592825505,1.0,0.0,0.0,0.0,23,0.07999118058393984,1.0,0.0,0.0,0.0,23,0.005250115344315215,0.0,0.0,0.0,0.0
h128,h128,lstm,neural_outer_force_lstm,ood,0.1811178296804927,0.7,0.0,0.0,0.0,10,0.6660329100235904,0.7,0.0,0.0,0.0,10,-0.4849150803430977,0.0,0.0,0.0,0.0
h128,h128,lstm,neural_outer_force_lstm,test,0.08229304780004638,1.0,0.0,0.0,0.0,23,0.10502725101110702,1.0,0.0,0.0,0.0,23,-0.022734203211060636,0.0,0.0,0.0,0.0
h128,h128,mlp,neural_outer_force_mlp,ood,0.29166796671560896,0.7,0.0,0.6864456079115765,1.8186698932779706,10,0.36432244258544194,0.6,0.0,0.8086096567771961,4.888220259865939,10,-0.07265447586983298,0.09999999999999998,0.0,-0.1221640488656196,-3.0695503665879684
h128,h128,mlp,neural_outer_force_mlp,test,0.0722407395278036,1.0,0.0,0.0,0.057945261043401,23,0.0710372983073288,1.0,0.0,0.0,0.057945261043401,23,0.0012034412204748046,0.0,0.0,0.0,0.0
seed123,seed123,mlp,neural_outer_force_mlp,ood,0.3249636711497042,0.5,0.0,1.6836918775086818,5.737241320478601,10,0.36432244258544194,0.6,0.0,0.8086096567771961,4.888220259865939,10,-0.03935877143573774,-0.09999999999999998,0.0,0.8750822207314857,0.849021060612662
seed123,seed123,mlp,neural_outer_force_mlp,test,0.0717431705989235,1.0,0.0,0.0,0.0618082784462944,23,0.0710372983073288,1.0,0.0,0.0,0.057945261043401,23,0.000705872291594703,0.0,0.0,0.0,0.0038630174028933956
seed7,seed7,mlp,neural_outer_force_mlp,ood,0.40404453284198405,0.6,0.0,1.694620766343882,5.090681629546786,10,0.36432244258544194,0.6,0.0,0.8086096567771961,4.888220259865939,10,0.03972209025654211,0.0,0.0,0.8860111095666858,0.20246136968084727
seed7,seed7,mlp,neural_outer_force_mlp,test,0.07183332798211378,1.0,0.0,0.0,0.0618082784462944,23,0.0710372983073288,1.0,0.0,0.0,0.057945261043401,23,0.0007960296747849815,0.0,0.0,0.0,0.0038630174028933956
