variant_tag,block,architecture,controller,split,hidden_dim,sequence_length,seed,mse_normalized,rmse_force_norm_N,run_dir
v1_baseline,baseline,mlp,neural_outer_force_mlp,train,64,,42,0.002967810666546891,0.024881115183234215,data/neural_control\outer_force_mlp_min_v1
v1_baseline,baseline,mlp,neural_outer_force_mlp,val,64,,42,0.002954920990760699,0.02435419149696827,data/neural_control\outer_force_mlp_min_v1
v1_baseline,baseline,mlp,neural_outer_force_mlp,test,64,,42,0.0030053214417236,0.025226810947060585,data/neural_control\outer_force_mlp_min_v1
v1_baseline,baseline,gru,neural_outer_force_gru,train,64,20.0,42,0.00030293007893390794,0.0074357506819069386,data/neural_control\outer_force_gru_min_v1
v1_baseline,baseline,gru,neural_outer_force_gru,val,64,20.0,42,0.0008420129920785774,0.013018045574426651,data/neural_control\outer_force_gru_min_v1
v1_baseline,baseline,gru,neural_outer_force_gru,test,64,20.0,42,0.002111652703524153,0.020627403631806374,data/neural_control\outer_force_gru_min_v1
v1_baseline,baseline,lstm,neural_outer_force_lstm,train,64,20.0,42,0.0005065453935444345,0.009724577888846397,data/neural_control\outer_force_lstm_min_v1
v1_baseline,baseline,lstm,neural_outer_force_lstm,val,64,20.0,42,0.0007803542938792594,0.012179732322692871,data/neural_control\outer_force_lstm_min_v1
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,64,20.0,42,0.0007451495137390634,0.011588954366743565,data/neural_control\outer_force_lstm_min_v1
h128,h128,mlp,neural_outer_force_mlp,train,128,,42,0.0026801661704801078,0.02454376220703125,data/neural_control\outer_force_mlp_min_v1_h128
h128,h128,mlp,neural_outer_force_mlp,val,128,,42,0.0036388933845001733,0.029351599514484406,data/neural_control\outer_force_mlp_min_v1_h128
h128,h128,mlp,neural_outer_force_mlp,test,128,,42,0.003433085880401977,0.028358235955238342,data/neural_control\outer_force_mlp_min_v1_h128
h128,h128,gru,neural_outer_force_gru,train,128,20.0,42,7.70849403542275e-05,0.0029203651938587427,data/neural_control\outer_force_gru_min_v1_h128
h128,h128,gru,neural_outer_force_gru,val,128,20.0,42,0.00044135665400593524,0.009502838365733624,data/neural_control\outer_force_gru_min_v1_h128
h128,h128,gru,neural_outer_force_gru,test,128,20.0,42,0.00027495119656775806,0.007151906844228506,data/neural_control\outer_force_gru_min_v1_h128
h128,h128,lstm,neural_outer_force_lstm,train,128,20.0,42,0.00014827998713514925,0.0049810586497187614,data/neural_control\outer_force_lstm_min_v1_h128
h128,h128,lstm,neural_outer_force_lstm,val,128,20.0,42,0.0005974679581735903,0.010597850196063519,data/neural_control\outer_force_lstm_min_v1_h128
h128,h128,lstm,neural_outer_force_lstm,test,128,20.0,42,0.00034332464798156825,0.007834229618310928,data/neural_control\outer_force_lstm_min_v1_h128
L10,L10,gru,neural_outer_force_gru,train,64,10.0,42,0.0021304747571578215,0.02045634016394615,data/neural_control\outer_force_gru_min_v1_L10
L10,L10,gru,neural_outer_force_gru,val,64,10.0,42,0.0035482495266052263,0.025756729766726494,data/neural_control\outer_force_gru_min_v1_L10
L10,L10,gru,neural_outer_force_gru,test,64,10.0,42,0.003667421783072088,0.028308922424912453,data/neural_control\outer_force_gru_min_v1_L10
L10,L10,lstm,neural_outer_force_lstm,train,64,10.0,42,0.0029143908569539546,0.025415226817131042,data/neural_control\outer_force_lstm_min_v1_L10
L10,L10,lstm,neural_outer_force_lstm,val,64,10.0,42,0.0025710058129794016,0.021985037252306938,data/neural_control\outer_force_lstm_min_v1_L10
L10,L10,lstm,neural_outer_force_lstm,test,64,10.0,42,0.001972621116171861,0.016786202788352966,data/neural_control\outer_force_lstm_min_v1_L10
L40,L40,gru,neural_outer_force_gru,train,64,40.0,42,0.01603011057610969,0.05170571058988571,data/neural_control\outer_force_gru_min_v1_L40
L40,L40,gru,neural_outer_force_gru,val,64,40.0,42,0.02309041112613377,0.06483421474695206,data/neural_control\outer_force_gru_min_v1_L40
L40,L40,gru,neural_outer_force_gru,test,64,40.0,42,0.026814836211056414,0.06620717793703079,data/neural_control\outer_force_gru_min_v1_L40
L40,L40,lstm,neural_outer_force_lstm,train,64,40.0,42,0.009600651078920835,0.03827274963259697,data/neural_control\outer_force_lstm_min_v1_L40
L40,L40,lstm,neural_outer_force_lstm,val,64,40.0,42,0.012627477983294883,0.043041836470365524,data/neural_control\outer_force_lstm_min_v1_L40
L40,L40,lstm,neural_outer_force_lstm,test,64,40.0,42,0.008989909829437351,0.02739959955215454,data/neural_control\outer_force_lstm_min_v1_L40
seed7,seed7,mlp,neural_outer_force_mlp,train,64,,7,0.0027926222038167237,0.02478976733982563,data/neural_control\outer_force_mlp_min_v1_seed7
seed7,seed7,mlp,neural_outer_force_mlp,val,64,,7,0.0028753718840793478,0.02495669573545456,data/neural_control\outer_force_mlp_min_v1_seed7
seed7,seed7,mlp,neural_outer_force_mlp,test,64,,7,0.00272267169403958,0.024172872304916382,data/neural_control\outer_force_mlp_min_v1_seed7
seed123,seed123,mlp,neural_outer_force_mlp,train,64,,123,0.0023714686454898016,0.021842001006007195,data/neural_control\outer_force_mlp_min_v1_seed123
seed123,seed123,mlp,neural_outer_force_mlp,val,64,,123,0.0024695428186041306,0.02332589402794838,data/neural_control\outer_force_mlp_min_v1_seed123
seed123,seed123,mlp,neural_outer_force_mlp,test,64,,123,0.002278097488508762,0.02208794839680195,data/neural_control\outer_force_mlp_min_v1_seed123
