controller,split,family,mission_success_rate,safety_success_rate,success_rate,rmse_mean,rmse_std,rmse_max,saturation_mean,degradation_mean,clip_norm_mean,clip_tilt_mean,count
classic_pid_circle,ood,composite,50.0,50.0,50.0,0.216,0.063,0.979,0.0,5.304,0.0,0.0,2
classic_pid_circle,ood,lemniscate,66.667,66.667,66.667,0.287,0.217,0.893,0.0,13.657,0.0,0.0,3
classic_pid_circle,ood,lissajous,100.0,100.0,100.0,0.111,0.041,0.65,0.0,0.0,0.0,0.0,2
classic_pid_circle,ood,waypoint,66.667,100.0,66.667,0.203,0.136,0.315,0.0,0.0,0.0,0.0,3
classic_pid_circle,test,circle,100.0,100.0,100.0,0.094,0.047,0.403,0.0,0.792,0.0,0.0,7
classic_pid_circle,test,hold,100.0,100.0,100.0,0.057,0.069,0.074,0.0,0.0,0.0,0.0,3
classic_pid_circle,test,lissajous,100.0,100.0,100.0,0.098,0.034,0.5,0.0,0.0,0.0,0.0,7
classic_pid_circle,test,waypoint,100.0,100.0,100.0,0.072,0.029,0.129,0.0,0.0,0.0,0.0,6
classic_pid_hold,ood,composite,50.0,50.0,50.0,0.294,0.003,1.131,0.0,5.769,0.0,0.0,2
classic_pid_hold,ood,lemniscate,66.667,66.667,66.667,0.295,0.13,0.933,0.0,12.457,0.0,0.0,3
classic_pid_hold,ood,lissajous,100.0,100.0,100.0,0.215,0.05,0.774,0.0,0.0,0.0,0.0,2
classic_pid_hold,ood,waypoint,66.667,100.0,66.667,0.206,0.126,0.374,0.0,0.0,0.0,0.0,3
classic_pid_hold,test,circle,100.0,100.0,100.0,0.162,0.067,0.471,0.0,0.665,0.0,0.0,7
classic_pid_hold,test,hold,100.0,100.0,100.0,0.057,0.069,0.096,0.0,0.0,0.0,0.0,3
classic_pid_hold,test,lissajous,100.0,100.0,100.0,0.187,0.059,0.616,0.0,0.0,0.0,0.0,7
classic_pid_hold,test,waypoint,100.0,100.0,100.0,0.114,0.038,0.201,0.0,0.0,0.0,0.0,6
classic_pid_lissajous,ood,composite,0.0,0.0,0.0,0.169,0.037,0.99,0.0,5.962,0.0,0.0,2
classic_pid_lissajous,ood,lemniscate,33.333,33.333,33.333,0.207,0.194,0.858,0.0,22.928,0.0,0.0,3
classic_pid_lissajous,ood,lissajous,100.0,100.0,100.0,0.084,0.026,0.539,0.0,0.0,0.0,0.0,2
classic_pid_lissajous,ood,waypoint,66.667,100.0,66.667,0.156,0.105,0.232,0.0,0.0,0.0,0.0,3
classic_pid_lissajous,test,circle,85.714,85.714,85.714,0.107,0.108,0.411,0.0,11.808,0.0,0.0,7
classic_pid_lissajous,test,hold,100.0,100.0,100.0,0.044,0.053,0.056,0.0,0.0,0.0,0.0,3
classic_pid_lissajous,test,lissajous,100.0,100.0,100.0,0.071,0.026,0.411,0.0,0.0,0.0,0.0,7
classic_pid_lissajous,test,waypoint,100.0,100.0,100.0,0.048,0.024,0.082,0.0,0.0,0.0,0.0,6
classic_pid_representative,ood,composite,0.0,0.0,0.0,0.169,0.037,0.99,0.0,5.962,0.0,0.0,2
classic_pid_representative,ood,lemniscate,33.333,33.333,33.333,0.207,0.194,0.858,0.0,22.928,0.0,0.0,3
classic_pid_representative,ood,lissajous,100.0,100.0,100.0,0.084,0.026,0.539,0.0,0.0,0.0,0.0,2
classic_pid_representative,ood,waypoint,66.667,100.0,66.667,0.167,0.105,0.287,0.0,0.0,0.0,0.0,3
classic_pid_representative,test,circle,100.0,100.0,100.0,0.094,0.047,0.403,0.0,0.792,0.0,0.0,7
classic_pid_representative,test,hold,100.0,100.0,100.0,0.057,0.069,0.096,0.0,0.0,0.0,0.0,3
classic_pid_representative,test,lissajous,100.0,100.0,100.0,0.071,0.026,0.411,0.0,0.0,0.0,0.0,7
classic_pid_representative,test,waypoint,100.0,100.0,100.0,0.066,0.023,0.119,0.0,0.0,0.0,0.0,6
classic_pid_waypoint,ood,composite,0.0,0.0,0.0,0.222,0.028,1.422,0.0,6.599,0.0,0.0,2
classic_pid_waypoint,ood,lemniscate,33.333,33.333,33.333,0.34,0.299,1.435,0.0,24.38,0.0,0.0,3
classic_pid_waypoint,ood,lissajous,100.0,100.0,100.0,0.116,0.033,0.646,0.0,0.0,0.0,0.0,2
classic_pid_waypoint,ood,waypoint,66.667,100.0,66.667,0.167,0.105,0.287,0.0,0.0,0.0,0.0,3
classic_pid_waypoint,test,circle,100.0,100.0,100.0,0.092,0.039,0.417,0.0,0.919,0.0,0.0,7
classic_pid_waypoint,test,hold,100.0,100.0,100.0,0.046,0.056,0.068,0.0,0.0,0.0,0.0,3
classic_pid_waypoint,test,lissajous,100.0,100.0,100.0,0.099,0.031,0.496,0.0,0.0,0.0,0.0,7
classic_pid_waypoint,test,waypoint,100.0,100.0,100.0,0.066,0.023,0.119,0.0,0.0,0.0,0.0,6
neural_outer_force_gru,ood,composite,100.0,100.0,100.0,0.358,0.0,1.266,0.0,4.448,0.0,0.0,2
neural_outer_force_gru,ood,lemniscate,66.667,66.667,66.667,0.252,0.265,1.616,0.0,11.902,0.0,0.0,3
neural_outer_force_gru,ood,lissajous,100.0,100.0,100.0,0.259,0.229,1.091,0.0,1.331,0.0,0.0,2
neural_outer_force_gru,ood,waypoint,66.667,100.0,66.667,0.15,0.088,0.29,0.0,0.18,0.0,0.0,3
neural_outer_force_gru,test,circle,100.0,100.0,100.0,0.088,0.045,0.392,0.0,0.253,0.0,0.0,7
neural_outer_force_gru,test,hold,100.0,100.0,100.0,0.038,0.047,0.065,0.0,0.0,0.0,0.0,3
neural_outer_force_gru,test,lissajous,100.0,100.0,100.0,0.129,0.073,0.703,0.0,0.0,0.0,0.0,7
neural_outer_force_gru,test,waypoint,100.0,100.0,100.0,0.075,0.015,0.142,0.0,0.0,0.0,0.0,6
neural_outer_force_lstm,ood,composite,100.0,100.0,100.0,0.526,0.186,1.495,0.0,3.217,0.0,0.0,2
neural_outer_force_lstm,ood,lemniscate,66.667,66.667,66.667,1.798,2.673,4.541,0.0,8.98,0.0,0.0,3
neural_outer_force_lstm,ood,lissajous,100.0,100.0,100.0,1.882,2.446,4.259,0.0,0.416,0.0,0.0,2
neural_outer_force_lstm,ood,waypoint,66.667,100.0,66.667,0.143,0.081,0.33,0.0,0.09,0.0,0.0,3
neural_outer_force_lstm,test,circle,100.0,100.0,100.0,0.176,0.164,0.638,0.0,0.095,0.0,0.0,7
neural_outer_force_lstm,test,hold,100.0,100.0,100.0,0.037,0.045,0.06,0.0,0.0,0.0,0.0,3
neural_outer_force_lstm,test,lissajous,100.0,100.0,100.0,0.176,0.098,0.859,0.0,0.0,0.0,0.0,7
neural_outer_force_lstm,test,waypoint,100.0,100.0,100.0,0.077,0.013,0.138,0.0,0.0,0.0,0.0,6
neural_outer_force_mlp,ood,composite,100.0,100.0,100.0,0.836,0.964,2.836,0.0,7.837,4.392,11.082,2
neural_outer_force_mlp,ood,lemniscate,66.667,66.667,66.667,0.812,1.274,2.947,0.0,18.23,7.471,11.782,3
neural_outer_force_mlp,ood,lissajous,100.0,100.0,100.0,0.087,0.02,0.515,0.0,3.661,0.0,1.016,2
neural_outer_force_mlp,ood,waypoint,66.667,100.0,66.667,0.139,0.07,0.269,0.0,0.089,0.0,0.0,3
neural_outer_force_mlp,test,circle,100.0,100.0,100.0,0.068,0.029,0.314,0.0,0.253,0.0,0.0,7
neural_outer_force_mlp,test,hold,100.0,100.0,100.0,0.036,0.043,0.057,0.0,0.0,0.0,0.0,3
neural_outer_force_mlp,test,lissajous,100.0,100.0,100.0,0.061,0.019,0.368,0.0,0.0,0.0,0.203,7
neural_outer_force_mlp,test,waypoint,100.0,100.0,100.0,0.074,0.013,0.135,0.0,0.0,0.0,0.0,6
